test001,山田太郎1,100-0001 東京都港区大崎1-1-1 テストビル101,03-1111-1111,フレッツ光マンションタイプ,新規入会特別キャンペーン
test002,山田太郎2,100-0002 東京都港区大崎1-1-1 テストビル101,03-1111-1112,フレッツ光マンションタイプ,新規入会特別キャンペーン
test003,山田太郎3,100-0003 東京都港区大崎1-1-1 テストビル101,03-1111-1113,フレッツ光マンションタイプ,新規入会特別キャンペーン
test004,山田太郎4,100-0004 東京都港区大崎1-1-1 テストビル101,03-1111-1114,フレッツ光マンションタイプ,新規入会特別キャンペーン
test005,山田太郎5,100-0005 東京都港区大崎1-1-1 テストビル101,03-1111-1115,フレッツ光マンションタイプ,新規入会特別キャンペーン
test006,山田太郎6,100-0006 東京都港区大崎1-1-1 テストビル101,03-1111-1116,フレッツ光マンションタイプ,新規入会特別キャンペーン
test007,山田太郎7,100-0007 東京都港区大崎1-1-1 テストビル101,03-1111-1117,フレッツ光マンションタイプ,新規入会特別キャンペーン
test008,山田太郎8,100-0008 東京都港区大崎1-1-1 テストビル101,03-1111-1118,フレッツ光マンションタイプ,新規入会特別キャンペーン
test009,山田太郎9,100-0009 東京都港区大崎1-1-1 テストビル101,03-1111-1119,フレッツ光マンションタイプ,新規入会特別キャンペーン
test010,山田太郎10,100-0010 東京都港区大崎1-1-1 テストビル101,03-1111-1121,フレッツ光マンションタイプ,新規入会特別キャンペーン
